account_id,client_id,account_number,account_type,currency,balance,status,opened_at
1,540,RU37PPRR4070946577706,savings,USD,1317740.65,active,2025-11-28 08:20:52
2,127,RU93CETQ8972842680928,debit,EUR,3337674.83,active,2026-01-07 16:42:56
3,705,RU74ZEMV1641700537186,credit,USD,4853556.98,closed,2025-07-20 13:45:40
4,1134,RU48BKMX6880316647951,debit,USD,4092207.67,blocked,2025-11-17 04:32:40
5,1408,RU38EOSQ3124285354160,savings,EUR,4408387.69,blocked,2025-08-17 06:41:31
6,162,RU85CSTC9848087017086,savings,EUR,174607.74,closed,2026-04-07 22:02:17
7,1059,RU75PDLF0771074043368,credit,EUR,4913791.07,active,2025-06-08 22:17:48
8,1945,RU53SLXO9672461051109,savings,KZT,4745358.35,active,2025-07-14 12:08:52
9,1656,RU64ABVP0178502050254,debit,KZT,214336.83,active,2026-01-13 12:22:46
10,892,RU90SPFV3920102975997,debit,EUR,740243.38,closed,2025-08-01 08:51:49
11,655,RU64IUOV5396597442526,credit,KZT,436050.18,closed,2025-09-24 12:48:20
12,1131,RU15VVVT4204164153740,savings,USD,2598921.2,active,2026-02-22 16:22:18
13,1435,RU35ZZVL1337937669976,credit,EUR,2613287.49,blocked,2025-06-05 21:56:24
14,849,RU56RDXV6085571749058,debit,KZT,2833403.04,closed,2026-02-11 17:46:41
15,1976,RU82JTXM8814499080358,debit,KZT,2813856.11,active,2026-02-22 08:52:07
16,586,RU40MFJX0574450999863,credit,USD,4389589.92,active,2025-09-18 23:24:45
17,1342,RU92FILY3527911110851,savings,EUR,3045201.8,active,2025-06-29 02:12:23
18,565,RU55RINV6898593213596,savings,KZT,3091604.2,blocked,2025-05-08 06:40:04
19,811,RU53DQVG0734800226425,savings,EUR,1188658.89,blocked,2026-04-15 19:59:33
20,551,RU62TPVE0554829878192,savings,KZT,1689992.54,active,2025-08-21 23:26:46
21,575,RU37CYZJ7498474604293,savings,EUR,3424575.28,active,2025-06-14 09:45:08
22,616,RU71ODPX8472146172758,credit,USD,3870380.47,active,2025-08-05 20:21:53
23,1493,RU61BZIL2926769889798,savings,EUR,3228128.5,active,2025-10-11 18:17:08
24,433,RU30QOPK4458474134019,savings,EUR,2422817.19,closed,2026-03-25 23:58:32
25,766,RU42EXSW3605962751934,debit,EUR,3957660.47,active,2025-08-22 01:03:57
26,1454,RU75MHQT0124844793656,credit,USD,679113.46,closed,2026-03-30 17:09:44
27,1165,RU25DCLN8622307065948,debit,KZT,964624.47,active,2026-03-14 06:22:36
28,119,RU22AKHD6022743303727,debit,KZT,2282786.89,active,2026-01-21 20:51:10
