card_id,client_id,account_id,card_number_masked,card_type,card_level,issue_date,expiry_date,card_status
1,994,1802,4871********9516,mastercard,gold,2024-03-23,2027-03-23,expired
2,854,1191,4634********9038,visa,gold,2023-11-23,2026-11-22,active
3,1263,1818,4433********8356,mastercard,platinum,2024-02-10,2027-02-09,active
4,1201,252,4658********7771,visa,platinum,2024-05-31,2027-05-31,active
5,1818,2506,4132********7001,visa,gold,2025-03-29,2028-03-28,active
6,1814,1118,4214********2140,visa,classic,2024-08-13,2027-08-13,expired
7,1601,1412,4827********2734,visa,classic,2026-04-21,2029-04-20,active
8,691,2114,4129********4279,visa,platinum,2025-06-25,2028-06-24,active
9,1454,409,4641********5994,visa,classic,2025-01-06,2028-01-06,blocked
10,1534,2580,4756********1132,visa,platinum,2024-03-20,2027-03-20,active
11,779,2255,4425********5299,mastercard,classic,2024-11-30,2027-11-30,active
12,1870,53,4734********8588,mastercard,classic,2025-01-07,2028-01-07,expired
13,970,645,4169********8727,mastercard,platinum,2023-09-12,2026-09-11,active
14,1718,1764,4681********8471,visa,classic,2024-04-20,2027-04-20,active
15,170,2777,4491********8606,mastercard,gold,2024-10-29,2027-10-29,active
16,497,901,4575********5352,mastercard,classic,2025-11-05,2028-11-04,blocked
17,1958,1074,4158********1535,mastercard,classic,2025-06-07,2028-06-06,expired
18,1295,473,4092********9371,mastercard,gold,2026-01-20,2029-01-19,expired
19,247,2739,4246********2675,mastercard,classic,2024-10-09,2027-10-09,expired
20,1930,2547,4889********3976,mastercard,classic,2024-05-31,2027-05-31,blocked
21,1568,45,4179********2037,mastercard,platinum,2024-03-20,2027-03-20,active
22,41,290,4203********8256,visa,platinum,2025-10-18,2028-10-17,expired
23,968,913,4989********4049,visa,gold,2025-02-12,2028-02-12,active
24,1938,2084,4176********3542,visa,platinum,2025-11-09,2028-11-08,blocked
25,1240,1361,4902********3804,visa,platinum,2024-09-12,2027-09-12,blocked
26,1932,2896,4818********6356,visa,platinum,2025-12-17,2028-12-16,active
27,482,2604,4241********3357,visa,classic,2023-06-19,2026-06-18,active
28,261,1227,4668********6958,visa,platinum,2026-03-15,2029-03-14,expired
29,548,297,4208********6246,mastercard,gold,2023-10-05,2026-10-04,blocked
30,1427,1242,4125********9013,mastercard,platinum,2025-04-07,2028-04-06,blocked
31,673,1006,4224********3647,mastercard,gold,2024-09-11,2027-09-11,active
32,1787,1666,4964********1320,mastercard,gold,2025-02-22,2028-02-22,active
33,1508,747,4591********9161,visa,classic,2024-10-04,2027-10-04,blocked
34,541,2852,4618********8189,visa,classic,2025-02-26,2028-02-26,expired
35,583,292,4178********8211,visa,classic,2024-06-15,2027-06-15,active
36,1986,782,4339********5038,mastercard,platinum,2024-01-17,2027-01-16,blocked
37,1577,2145,4736********2843,visa,gold,2023-09-01,2026-08-31,active
38,552,323,4141********9502,visa,classic,2026-02-04,2029-02-03,active
39,343,299,4028********2614,visa,gold,2025-05-17,2028-05-16,blocked
40,1095,1299,4746********1889,visa,classic,2025-02-09,2028-02-09,active
41,830,195,4904********1728,mastercard,platinum,2024-04-06,2027-04-06,blocked
42,1564,64,4621********8628,mastercard,gold,2025-11-28,2028-11-27,active
43,1893,394,4709********7098,mastercard,classic,2023-05-26,2026-05-25,active
44,1224,728,4652********9765,mastercard,classic,2024-12-18,2027-12-18,active
45,193,1584,4206********1284,mastercard,gold,2026-01-13,2029-01-12,active
46,1664,1548,4944********7354,visa,platinum,2024-07-22,2027-07-22,expired
47,1189,2426,4328********2793,mastercard,classic,2023-06-19,2026-06-18,active
48,1976,15,4855********3670,visa,platinum,2025-09-22,2028-09-21,expired
49,997,2568,4920********2533,visa,classic,2023-08-21,2026-08-20,expired
50,84,1601,4171********6705,visa,classic,2023-06-16,2026-06-15,active
51,479,1091,4203********8831,mastercard,platinum,2025-09-18,2028-09-17,expired
52,926,2112,4197********1928,visa,classic,2026-04-19,2029-04-18,expired
53,1860,204,4425********8702,visa,classic,2024-06-29,2027-06-29,expired
54,577,2419,4511********2522,visa,classic,2023-12-16,2026-12-15,blocked
55,150,153,4049********3472,visa,classic,2023-10-18,2026-10-17,active
56,930,2902,4161********2934,mastercard,gold,2023-10-07,2026-10-06,blocked
57,510,1360,4770********3287,visa,classic,2026-03-19,2029-03-18,expired
58,200,773,4789********2462,visa,classic,2024-08-04,2027-08-04,blocked
59,575,2679,4412********2712,visa,classic,2025-12-17,2028-12-16,active
60,184,1002,4123********1522,mastercard,classic,2024-04-18,2027-04-18,active
61,343,719,4677********9669,mastercard,classic,2025-09-19,2028-09-18,active
62,1662,613,4947********4507,visa,gold,2025-06-08,2028-06-07,expired
63,786,843,4197********8068,mastercard,gold,2024-01-31,2027-01-30,active
64,1510,267,4549********1219,visa,gold,2024-05-03,2027-05-03,active
65,263,52,4795********9535,visa,classic,2023-10-17,2026-10-16,active
66,1779,1196,4180********2645,visa,gold,2025-03-16,2028-03-15,active
67,203,1271,4808********7468,visa,gold,2025-03-30,2028-03-29,active
68,1994,1492,4590********6351,visa,classic,2023-09-16,2026-09-15,expired
69,468,1583,4293********7153,visa,classic,2024-02-15,2027-02-14,expired
70,484,522,4198********7008,mastercard,platinum,2025-11-26,2028-11-25,blocked
71,482,1695,4859********2081,visa,classic,2024-05-05,2027-05-05,expired
72,1986,2664,4610********6656,visa,platinum,2023-12-01,2026-11-30,expired
73,1695,2749,4508********1279,visa,classic,2025-03-02,2028-03-01,blocked
74,1966,1922,4121********3324,mastercard,classic,2025-03-11,2028-03-10,blocked
75,1072,103,4957********6882,mastercard,platinum,2024-08-25,2027-08-25,active
76,399,696,4396********6028,visa,classic,2025-04-01,2028-03-31,active
77,1525,2333,4265********2227,visa,classic,2025-05-16,2028-05-15,active
78,1894,2725,4493********1881,mastercard,classic,2023-09-15,2026-09-14,active
79,927,2273,4628********3653,mastercard,classic,2023-05-29,2026-05-28,expired
80,1764,2483,4506********5553,visa,classic,2024-02-26,2027-02-25,expired
81,1321,1843,4634********2007,mastercard,platinum,2026-03-24,2029-03-23,active
