client_id,first_name,last_name,birth_date,phone,email,city,registration_date
1,Алла,Цветков,1951-10-04,+73321819600,rjabovigor@example.net,Астана,2025-12-27 13:04:42
2,Эраст,Зайцев,1982-11-10,8 (637) 940-2654,ekaterinakondrateva@example.com,Актобе,2025-05-02 22:18:20
3,Варфоломей,Герасимов,1972-05-05,8 594 078 1618,agata95@example.net,Караганда,2025-07-27 07:44:46
4,Евдоким,Горбунова,1954-05-05,+7 (413) 164-7525,epifan_41@example.net,Астана,2025-06-16 09:46:34
5,Александра,Александров,1981-04-15,+7 (276) 483-5030,oleg_41@example.org,Астана,2026-01-11 00:29:05
6,Ферапонт,Носова,1991-12-13,+7 (767) 242-3884,lzikova@example.com,Павлодар,2025-12-08 12:58:39
7,Митофан,Быков,2008-02-26,+7 (871) 012-26-91,mfadeev@example.com,Алматы,2025-05-05 13:25:28
8,Стоян,Овчинников,2006-08-19,+7 184 514 6270,sidor28@example.org,Караганда,2025-05-29 14:29:29
9,Ярослав,Кириллов,1999-02-15,8 (932) 528-8095,adam1976@example.com,Алматы,2025-07-22 13:44:43
10,Леон,Архипов,1953-09-01,81171822782,stojan96@example.org,Караганда,2025-11-27 04:22:18
11,Тимур,Лукина,1992-08-23,+7 (465) 787-1331,adrian_98@example.org,Павлодар,2026-01-26 06:58:30
12,Харитон,Быков,1950-09-22,+7 310 518 3473,vlas_2010@example.net,Усть-Каменогорск,2025-07-17 19:50:38
13,Флорентин,Блохин,1964-05-26,8 (631) 165-66-70,semenovolimpi@example.net,Актобе,2025-12-08 01:32:34
14,Мартьян,Ефремова,2000-04-14,+7 (338) 726-2473,zuevuljan@example.org,Алматы,2026-03-03 13:37:38
15,Антип,Большакова,2008-04-07,+7 132 677 3602,yivanov@example.com,Шымкент,2026-02-11 21:47:09
16,Радован,Дроздов,1974-11-04,8 (723) 430-9805,vasilevafaina@example.com,Павлодар,2026-01-19 08:19:09
17,Сила,Самойлова,1999-10-07,+7 (081) 219-13-61,fokakirillov@example.org,Актобе,2025-09-02 08:33:11
18,Якуб,Сорокин,1974-08-16,89854353462,ratmir51@example.org,Караганда,2025-06-22 14:21:45
19,Ратмир,Федотова,2008-03-21,+7 183 842 51 35,gleb78@example.net,Тараз,2026-02-13 17:28:10
20,Ладислав,Крылова,2007-05-16,8 (084) 124-1182,kondrat93@example.net,Астана,2025-06-01 21:51:26
21,Мефодий,Исаков,1990-03-08,+78740164005,ivannasorokina@example.net,Астана,2025-09-17 18:22:03
22,Пров,Гусева,1991-03-28,8 (011) 280-5982,csidorov@example.com,Тараз,2025-09-09 15:07:08
23,Михаил,Бирюкова,2004-06-05,+7 533 158 6923,darjabobileva@example.com,Актобе,2025-12-13 16:19:23
24,Аким,Ефимов,1993-01-11,8 634 216 0733,mili1987@example.org,Алматы,2026-03-02 16:10:09
25,Захар,Васильев,1988-08-03,8 541 458 68 50,shashkovkazimir@example.org,Усть-Каменогорск,2026-01-31 14:46:54
26,Фома,Блохина,2007-05-10,+7 196 556 9816,iraklisolovev@example.net,Астана,2025-11-17 11:11:48
27,Поликарп,Смирнов,1980-06-18,8 (356) 159-5148,galina65@example.com,Павлодар,2026-04-16 09:36:16
