customer_id,first_name,last_name,iin,birth_date,gender,city,segment,manager_id,registered_at,updated_at
1,Вениамин,Козлов,276804025016,2008-11-20,M,Pavlodar,mass,29,2025-12-05 00:42:45,2026-05-04 00:42:45
2,Ирина,Николаева,142271333204,1971-03-14,F,Pavlodar,mass,36,2023-09-24 23:11:09,2023-12-08 23:11:09
3,Елена,Кудрявцева,022021263322,2018-02-19,F,Astana,premium,41,2024-05-18 17:14:56,2024-06-30 17:14:56
4,Варфоломей,Ларионов,965687203229,1988-03-25,M,Karaganda,premium,32,2025-07-16 09:35:43,2025-10-25 09:35:43
5,София,Беляева,757453914781,1974-05-09,F,Pavlodar,premium,5,2025-08-06 15:51:45,2025-11-12 15:51:45
6,Феврония,Родионова,980765261449,1983-08-18,F,Semey,wealth,12,2024-04-29 09:26:44,2024-09-05 09:26:44
7,Амос,Новиков,661757503098,1987-08-03,M,Karaganda,mass,16,2023-07-23 03:40:07,2023-12-15 03:40:07
8,Вадим,Рябов,077145284257,1978-01-17,M,Aktobe,mass,43,2025-10-04 00:28:08,2026-03-19 00:28:08
9,Елизавета,Селезнева,200550700035,1984-12-25,F,Oskemen,mass,35,2024-10-08 07:31:53,2024-11-10 07:31:53
10,Элеонора,Козлова,104447690438,1982-04-22,F,Karaganda,mass,35,2025-04-26 08:08:34,2025-08-18 08:08:34
11,Феликс,Лазарев,294850989981,2003-07-27,M,Oskemen,mass,26,2024-10-24 18:42:31,2024-11-08 18:42:31
12,Трифон,Гаврилов,972677641207,1965-06-20,M,Taraz,mass,4,2024-12-07 23:35:44,2025-05-05 23:35:44
13,Елена,Третьякова,901562182564,2012-05-12,F,Atyrau,premium,21,2024-08-03 07:49:57,2024-10-08 07:49:57
14,Харитон,Матвеев,216499065055,1971-11-19,M,Taraz,mass,16,2024-02-14 01:39:45,2024-05-18 01:39:45
15,Агата,Мишина,769608269111,2009-08-19,F,Shymkent,mass,19,2025-07-22 09:06:26,2025-12-23 09:06:26
16,Гордей,Игнатов,624980420762,1999-08-22,M,Semey,premium,28,2023-12-27 13:46:17,2024-05-18 13:46:17
17,Панфил,Александров,958511387882,1982-05-21,M,Astana,mass,50,2025-09-07 21:03:16,2026-01-28 21:03:16
18,Ирина,Степанова,921714197467,1982-04-06,F,Aktobe,mass,45,2023-04-08 04:12:51,2023-05-05 04:12:51
19,Екатерина,Кондратьева,284372013892,2017-07-20,F,Semey,mass,44,2023-07-21 22:05:30,2023-12-05 22:05:30
20,Лукия,Орлова,919214736535,1982-11-07,F,Almaty,premium,28,2023-05-14 23:52:04,2023-05-14 23:52:04
21,Вадим,Щербаков,966195636516,1994-01-05,M,Shymkent,premium,37,2024-12-23 10:55:18,2025-03-10 10:55:18
22,Антонина,Ефимова,276346579762,2019-07-23,F,Atyrau,mass,6,2024-06-17 23:40:42,2024-12-26 23:40:42
23,Мечислав,Елисеев,102480461642,2018-11-09,M,Almaty,wealth,50,2024-02-11 14:45:09,2024-03-09 14:45:09
24,Иванна,Константинова,502848695986,2005-04-14,F,Pavlodar,wealth,36,2025-05-20 18:08:16,2025-09-11 18:08:16
25,Аникей,Артемьев,782742472380,1973-07-13,M,Karaganda,mass,45,2023-11-30 08:31:44,2024-01-08 08:31:44
26,Родион,Беляков,542495687303,1994-12-27,M,Pavlodar,premium,48,2025-10-26 10:33:39,2026-05-02 10:33:39
27,Владилен,Туров,436778995956,1967-07-13,M,Pavlodar,mass,30,2024-08-18 16:42:33,2024-10-03 16:42:33
28,Наркис,Федоров,438294847092,1966-02-26,M,Almaty,wealth,2,2025-04-08 11:39:47,2025-06-10 11:39:47
29,Устин,Анисимов,241942369771,1987-11-27,M,Astana,premium,2,2023-08-24 23:20:51,2023-11-11 23:20:51
30,Юлия,Доронина,582636875056,1966-03-09,F,Semey,premium,22,2024-11-19 01:47:56,2024-11-22 01:47:56
31,Майя,Игнатьева,968747928544,2013-02-25,F,Aktobe,mass,16,2023-09-10 08:53:33,2023-10-02 08:53:33
32,Евдокия,Крюкова,463081273872,1960-11-28,F,Semey,mass,6,2023-07-12 09:44:12,2023-09-11 09:44:12
33,Ангелина,Соловьева,664702635454,2009-05-18,F,Taraz,mass,45,2024-08-17 06:11:45,2024-12-11 06:11:45
34,Елизавета,Мамонтова,737961725759,1977-05-31,F,Aktobe,mass,24,2025-02-20 15:45:53,2025-04-06 15:45:53
35,Кира,Федорова,295618485441,1964-08-10,F,Aktobe,wealth,31,2025-12-16 01:25:52,2026-01-14 01:25:52
36,Игорь,Князев,601539176725,2000-06-01,M,Oskemen,mass,38,2024-11-15 08:55:24,2025-03-04 08:55:24
37,Антонина,Щербакова,907620251464,1962-12-05,F,Karaganda,mass,46,2024-05-27 04:56:21,2024-08-07 04:56:21
38,Ирина,Панова,275811212107,2013-05-20,F,Atyrau,mass,29,2025-10-19 02:45:01,2025-11-19 02:45:01
39,Майя,Сорокина,954004320985,1961-11-10,F,Aktobe,premium,3,2024-01-25 14:15:35,2024-08-07 14:15:35
40,Моисей,Казаков,915640336836,1985-11-09,M,Pavlodar,wealth,49,2024-09-05 07:18:32,2025-01-23 07:18:32
41,Епифан,Агафонов,394596541376,1964-08-18,M,Karaganda,mass,36,2024-09-21 21:39:44,2024-10-24 21:39:44
42,Ираида,Филатова,067730428196,1973-10-24,F,Oskemen,premium,19,2024-10-08 01:28:53,2025-02-15 01:28:53
43,Анжела,Кошелева,411571078372,1960-03-25,F,Aktobe,premium,20,2024-10-31 08:29:45,2025-03-30 08:29:45
44,Глафира,Лукина,437398923843,2002-06-07,F,Pavlodar,mass,43,2023-07-28 19:31:26,2024-01-10 19:31:26
45,Иннокентий,Сорокин,931809018907,1983-10-11,M,Taraz,premium,45,2024-08-10 22:51:28,2024-11-19 22:51:28
46,Роман,Щербаков,833778006997,1998-12-07,M,Astana,wealth,41,2023-08-11 13:05:17,2024-02-07 13:05:17
47,Касьян,Стрелков,907231557108,2015-08-06,M,Karaganda,mass,38,2024-10-02 18:15:41,2024-11-07 18:15:41
48,Федосий,Поляков,208961435642,1987-02-07,M,Karaganda,mass,31,2024-09-14 03:43:31,2024-10-11 03:43:31
49,Любосмысл,Одинцов,260830879978,1985-09-04,M,Karaganda,premium,23,2024-12-05 05:37:24,2025-01-30 05:37:24
