event_id,session_id,event_time,event_type,amount,target_account,is_successful,error_message
1,7affd8bee84a4ac6d9ef06d1ee6a9af6,2025-09-28 11:13:26,pay_utility,165418.11,KZ309237282194500455,True,
2,0c0126ccce0db3d9be0d5ebf48e2afc6,2025-09-24 19:30:08,open_card,,,True,
3,bd727bee6cfa1a85cb4c161b14e8da0a,2025-11-10 18:00:37,login,,,True,
4,6f61a22cd2eba7ce1dfcb9efaf12b754,2025-11-17 07:43:50,change_password,,,True,
5,102997aa52491e6e1330deadb99eaf3f,2025-10-18 08:49:52,change_password,,,True,
6,9a6c7d13e4fdc8d9f0b80bcb1681ff7d,2025-12-23 02:52:35,make_transfer,32742.25,KZ840122745864955734,True,
7,b83c9cd4a5bfef5d6cbc92bae2248a9a,2025-10-16 13:13:16,pay_utility,36521.38,KZ290795436421162660,True,
8,dc09d5e9adc3e3f3af3cccaa5e7b6a9d,2025-11-11 09:07:43,login,,,True,
9,4edee122cfbfb80ecb9fe7062d96b1bd,2025-11-28 10:48:00,open_card,,,True,
10,b62cdbe7d8b9dec71be1eb7aec3c64a1,2025-09-01 04:20:10,open_card,,,True,
11,4e0c8e59bf016abc7d37ce61da87ebaa,2025-12-13 00:35:36,view_balance,,,True,
12,9c63e37cebc0bdaec8adca56ca710d64,2025-12-01 09:41:02,open_card,,,True,
13,e2ade107457fb859f1fca70ddbeabce6,2025-11-16 02:28:58,make_transfer,158593.48,KZ953216769072081517,True,
14,fb4fd52c241b6c40e1fe4c718111daaf,2025-09-10 14:09:56,login,,,True,
15,fa3ded87ff8cc08d56f2f15a0efdee5b,2025-11-20 13:02:29,open_card,,,True,
16,ed04c77e9e7c6a9d9fd6fbb405babbb5,2025-10-15 00:44:39,make_transfer,153158.94,KZ079983124617212235,True,
17,ea8ee2dba463ca548f51afc0bd44414c,2025-12-04 16:29:13,logout,,,True,
18,7d560c9f26f7b9bac8d9dd5ffea2beff,2025-12-16 19:32:58,open_card,,,True,
19,2daac02de72e0fc50c1af7e452c1c364,2025-11-20 01:41:40,make_transfer,177500.95,KZ305016943756827990,True,
20,4f944b115fa34c491fdfbcecc45bd54f,2025-10-01 04:36:25,open_card,,,True,
21,19dc33dac674fc8f333c6ddc290c8fc9,2025-12-25 13:57:31,view_balance,,,True,
22,6c78080ceccbb5afd2eb8aba7e80aa08,2025-09-01 16:14:18,open_card,,,True,
23,2f9d543129dae1b2cecb427adaa8eeff,2025-09-14 06:30:21,logout,,,True,
24,2da23c3cbfc6332b0fba6e8dd395ef8f,2025-11-09 17:39:31,change_password,,,True,
25,189edf2634023f39155adecaa9b5a30e,2025-11-04 01:55:58,change_password,,,True,
26,66a48de2b0faa31245aecddcf0c40fbc,2025-11-27 07:40:42,logout,,,True,
27,3a9cfedfbfca9bbd444d9b30ae8992d5,2025-10-06 09:58:47,view_balance,,,True,
28,adadfa9f04a43686ea9d7ecb6c92866f,2025-10-21 15:37:59,logout,,,True,
29,b1aeb441dad18caeabbceaa195b8e0c4,2025-09-13 18:47:36,make_transfer,133784.17,KZ339084558467192288,True,
30,9c63e37cebc0bdaec8adca56ca710d64,2025-12-01 09:50:39,pay_utility,51249.26,KZ960287628326316965,True,
31,77778ebb81bdef0dd98f1c3e1dbadaf2,2025-09-25 18:35:10,open_card,,,True,
32,791eefa3fc2083c18de0fa5dcf434aa2,2025-11-17 02:08:22,pay_utility,46614.55,KZ233844287996148918,True,
33,2f73afec7fe49d31bce3a8ef7d46bc8f,2025-09-13 08:47:47,make_transfer,151575.05,KZ797100386745800360,True,
34,9feb51bedc4e5bce4ab96dd071b9bdbe,2025-11-22 12:19:21,logout,,,True,
35,bd727bee6cfa1a85cb4c161b14e8da0a,2025-11-10 17:35:38,change_password,,,True,
